997,/997/,root,root,1
8,/997/8/,Basic cell groups and regions,grey,2
567,/997/8/567/,Cerebrum,CH,3
688,/997/8/567/688/,Cerebral cortex,CTX,4
695,/997/8/567/688/695/,Cortical plate,CTXpl,5
315,/997/8/567/688/695/315/,Isocortex,Isocortex,6
184,/997/8/567/688/695/315/184/,Frontal pole - cerebral cortex,FRP,7
68,/997/8/567/688/695/315/184/68/,Frontal pole - layer 1,FRP1,8
667,/997/8/567/688/695/315/184/667/,Frontal pole - layer 2/3,FRP2/3,8
526157192,/997/8/567/688/695/315/184/526157192/,Frontal pole - layer 5,FRP5,8
526157196,/997/8/567/688/695/315/184/526157196/,Frontal pole - layer 6a,FRP6a,8
526322264,/997/8/567/688/695/315/184/526322264/,Frontal pole - layer 6b,FRP6b,8
500,/997/8/567/688/695/315/500/,Somatomotor areas,MO,7
107,/997/8/567/688/695/315/500/107/,Somatomotor areas - Layer 1,MO1,8
219,/997/8/567/688/695/315/500/219/,Somatomotor areas - Layer 2/3,MO2/3,8
299,/997/8/567/688/695/315/500/299/,Somatomotor areas - Layer 5,MO5,8
644,/997/8/567/688/695/315/500/644/,Somatomotor areas - Layer 6a,MO6a,8
947,/997/8/567/688/695/315/500/947/,Somatomotor areas - Layer 6b,MO6b,8
985,/997/8/567/688/695/315/500/985/,Primary motor area,MOp,8
320,/997/8/567/688/695/315/500/985/320/,Primary motor area - Layer 1,MOp1,9
943,/997/8/567/688/695/315/500/985/943/,Primary motor area - Layer 2/3,MOp2/3,9
648,/997/8/567/688/695/315/500/985/648/,Primary motor area - Layer 5,MOp5,9
844,/997/8/567/688/695/315/500/985/844/,Primary motor area - Layer 6a,MOp6a,9
882,/997/8/567/688/695/315/500/985/882/,Primary motor area - Layer 6b,MOp6b,9
993,/997/8/567/688/695/315/500/993/,Secondary motor area,MOs,8
656,/997/8/567/688/695/315/500/993/656/,Secondary motor area - layer 1,MOs1,9
962,/997/8/567/688/695/315/500/993/962/,Secondary motor area - layer 2/3,MOs2/3,9
767,/997/8/567/688/695/315/500/993/767/,Secondary motor area - layer 5,MOs5,9
1021,/997/8/567/688/695/315/500/993/1021/,Secondary motor area - layer 6a,MOs6a,9
1085,/997/8/567/688/695/315/500/993/1085/,Secondary motor area - layer 6b,MOs6b,9
453,/997/8/567/688/695/315/453/,Somatosensory areas,SS,7
12993,/997/8/567/688/695/315/453/12993/,Somatosensory areas - layer 1,SS1,8
12994,/997/8/567/688/695/315/453/12994/,Somatosensory areas - layer 2/3,SS2/3,8
12995,/997/8/567/688/695/315/453/12995/,Somatosensory areas - layer 4,SS4,8
12996,/997/8/567/688/695/315/453/12996/,Somatosensory areas - layer 5,SS5,8
12997,/997/8/567/688/695/315/453/12997/,Somatosensory areas - layer 6a,SS6a,8
12998,/997/8/567/688/695/315/453/12998/,Somatosensory areas - layer 6b,SS6b,8
322,/997/8/567/688/695/315/453/322/,Primary somatosensory area,SSp,8
793,/997/8/567/688/695/315/453/322/793/,Primary somatosensory area - layer 1,SSp1,9
346,/997/8/567/688/695/315/453/322/346/,Primary somatosensory area - layer 2/3,SSp2/3,9
865,/997/8/567/688/695/315/453/322/865/,Primary somatosensory area - layer 4,SSp4,9
921,/997/8/567/688/695/315/453/322/921/,Primary somatosensory area - layer 5,SSp5,9
686,/997/8/567/688/695/315/453/322/686/,Primary somatosensory area - layer 6a,SSp6a,9
719,/997/8/567/688/695/315/453/322/719/,Primary somatosensory area - layer 6b,SSp6b,9
353,/997/8/567/688/695/315/453/322/353/,Primary somatosensory area - nose,SSp-n,9
558,/997/8/567/688/695/315/453/322/353/558/,Primary somatosensory area - nose - layer 1,SSp-n1,10
838,/997/8/567/688/695/315/453/322/353/838/,Primary somatosensory area - nose - layer 2/3,SSp-n2/3,10
654,/997/8/567/688/695/315/453/322/353/654/,Primary somatosensory area - nose - layer 4,SSp-n4,10
702,/997/8/567/688/695/315/453/322/353/702/,Primary somatosensory area - nose - layer 5,SSp-n5,10
889,/997/8/567/688/695/315/453/322/353/889/,Primary somatosensory area - nose - layer 6a,SSp-n6a,10
929,/997/8/567/688/695/315/453/322/353/929/,Primary somatosensory area - nose - layer 6b,SSp-n6b,10
329,/997/8/567/688/695/315/453/322/329/,Primary somatosensory area - barrel field,SSp-bfd,9
981,/997/8/567/688/695/315/453/322/329/981/,Primary somatosensory area - barrel field - layer 1,SSp-bfd1,10
201,/997/8/567/688/695/315/453/322/329/201/,Primary somatosensory area - barrel field - layer 2/3,SSp-bfd2/3,10
1047,/997/8/567/688/695/315/453/322/329/1047/,Primary somatosensory area - barrel field - layer 4,SSp-bfd4,10
1070,/997/8/567/688/695/315/453/322/329/1070/,Primary somatosensory area - barrel field - layer 5,SSp-bfd5,10
1038,/997/8/567/688/695/315/453/322/329/1038/,Primary somatosensory area - barrel field - layer 6a,SSp-bfd6a,10
1062,/997/8/567/688/695/315/453/322/329/1062/,Primary somatosensory area - barrel field - layer 6b,SSp-bfd6b,10
480149202,/997/8/567/688/695/315/453/322/329/480149202/,Rostrolateral lateral visual area,VISrll,10
480149206,/997/8/567/688/695/315/453/322/329/480149202/480149206/,Rostrolateral lateral visual area - layer 1,VISrll1,11
480149210,/997/8/567/688/695/315/453/322/329/480149202/480149210/,Rostrolateral lateral visual area - layer 2/3,VISrll2/3,11
480149214,/997/8/567/688/695/315/453/322/329/480149202/480149214/,Rostrolateral lateral visual area - layer 4,VISrll4,11
480149218,/997/8/567/688/695/315/453/322/329/480149202/480149218/,"Rostrolateral lateral visual area,layer 5",VISrll5,11
480149222,/997/8/567/688/695/315/453/322/329/480149202/480149222/,Rostrolateral lateral visual area - layer 6a,VISrll6a,11
480149226,/997/8/567/688/695/315/453/322/329/480149202/480149226/,Rostrolateral lateral visual area - layer 6b,VISrll6b,11
337,/997/8/567/688/695/315/453/322/337/,Primary somatosensory area - lower limb,SSp-ll,9
1030,/997/8/567/688/695/315/453/322/337/1030/,Primary somatosensory area - lower limb - layer 1,SSp-ll1,10
113,/997/8/567/688/695/315/453/322/337/113/,Primary somatosensory area - lower limb - layer 2/3,SSp-ll2/3,10
1094,/997/8/567/688/695/315/453/322/337/1094/,Primary somatosensory area - lower limb - layer 4,SSp-ll4,10
1128,/997/8/567/688/695/315/453/322/337/1128/,Primary somatosensory area - lower limb - layer 5,SSp-ll5,10
478,/997/8/567/688/695/315/453/322/337/478/,Primary somatosensory area - lower limb - layer 6a,SSp-ll6a,10
510,/997/8/567/688/695/315/453/322/337/510/,Primary somatosensory area - lower limb - layer 6b,SSp-ll6b,10
345,/997/8/567/688/695/315/453/322/345/,Primary somatosensory area - mouth,SSp-m,9
878,/997/8/567/688/695/315/453/322/345/878/,Primary somatosensory area - mouth - layer 1,SSp-m1,10
657,/997/8/567/688/695/315/453/322/345/657/,Primary somatosensory area - mouth - layer 2/3,SSp-m2/3,10
950,/997/8/567/688/695/315/453/322/345/950/,Primary somatosensory area - mouth - layer 4,SSp-m4,10
974,/997/8/567/688/695/315/453/322/345/974/,Primary somatosensory area - mouth - layer 5,SSp-m5,10
1102,/997/8/567/688/695/315/453/322/345/1102/,Primary somatosensory area - mouth - layer 6a,SSp-m6a,10
2,/997/8/567/688/695/315/453/322/345/2/,Primary somatosensory area - mouth - layer 6b,SSp-m6b,10
369,/997/8/567/688/695/315/453/322/369/,Primary somatosensory area - upper limb,SSp-ul,9
450,/997/8/567/688/695/315/453/322/369/450/,Primary somatosensory area - upper limb - layer 1,SSp-ul1,10
854,/997/8/567/688/695/315/453/322/369/854/,Primary somatosensory area - upper limb - layer 2/3,SSp-ul2/3,10
577,/997/8/567/688/695/315/453/322/369/577/,Primary somatosensory area - upper limb - layer 4,SSp-ul4,10
